date,new_accounts,total_messages,anonymous_messages_percent,topic_growth_percentage
2025-04-01 00:00:00,0,0,0,0
2025-04-02 00:00:00,0,0,0,0
2025-04-03 00:00:00,0,0,0,0
2025-04-04 00:00:00,0,0,0,0
2025-04-05 00:00:00,0,0,0,0
2025-04-06 00:00:00,0,0,0,0
2025-04-07 00:00:00,0,0,0,0
2025-04-08 00:00:00,0,0,0,0
2025-04-09 00:00:00,0,0,0,0
2025-04-10 00:00:00,0,0,0,0
2025-04-11 00:00:00,0,0,0,0
2025-04-12 00:00:00,0,0,0,0
2025-04-13 00:00:00,0,0,0,0
2025-04-14 00:00:00,0,0,0,0
2025-04-15 00:00:00,0,0,0,0
2025-04-16 00:00:00,0,0,0,0
2025-04-17 00:00:00,0,0,0,0
2025-04-18 00:00:00,0,0,0,0
2025-04-19 00:00:00,0,0,0,0
2025-04-20 00:00:00,0,0,0,0
2025-04-21 00:00:00,0,0,0,0
2025-04-22 00:00:00,0,0,0,0
2025-04-23 00:00:00,0,0,0,0
2025-04-24 00:00:00,0,0,0,0
2025-04-25 00:00:00,0,0,0,0
2025-04-26 00:00:00,0,0,0,0
2025-04-27 00:00:00,0,0,0,0
2025-04-28 00:00:00,0,0,0,0
2025-04-29 00:00:00,0,0,0,0
2025-04-30 00:00:00,0,0,0,0
